St. Augustine Prep,0.773,0.41,0.481,0.422,0.49
Coulee Christian/Providence Acad (La Crosse),0.0,0.363,0.453,0.0,0.0
La Farge/Youth Initiative,0.72,0.456,0.515,0.329,0.507
Milwaukee Excellence Charter School,0.0,0.353,0.341,0.353,0.341
Wabeno/Laona,0.778,0.577,0.521,0.516,0.51
Princeton/Green Lake,0.28,0.591,0.513,0.374,0.502
Potosi/Cassville,0.56,0.538,0.552,0.531,0.54
Plum City/Elmwood,0.609,0.459,0.521,0.316,0.531
Abundant Life Christian/St. Ambrose,0.125,0.433,0.508,0.24,0.43
Milw Washington/Fuller,0.385,0.666,0.499,0.486,0.486
Milw Hamilton/Audubon,0.278,0.598,0.519,0.512,0.468
Eastbrook Academy,0.632,0.506,0.443,0.439,0.449
Appleton East,0.857,0.586,0.6,0.61,0.596
Appleton North,0.292,0.629,0.583,0.42,0.564
Appleton West,0.346,0.574,0.568,0.313,0.56
Arrowhead,0.852,0.621,0.563,0.575,0.553
Badger,0.48,0.503,0.551,0.452,0.529
Bay Port,0.6,0.546,0.601,0.405,0.573
Beloit Memorial,0.348,0.551,0.58,0.558,0.594
Brookfield Central,0.5,0.608,0.58,0.485,0.573
Brookfield East,0.893,0.591,0.573,0.557,0.571
Chippewa Falls,0.08,0.59,0.61,0.365,0.586
D.C. Everest,0.4,0.544,0.585,0.367,0.538
De Pere,0.857,0.516,0.588,0.448,0.603
Divine Savior Holy Angels,0.556,0.621,0.568,0.503,0.547
Eau Claire Memorial,0.731,0.554,0.598,0.49,0.594
Eau Claire North,0.48,0.569,0.612,0.392,0.602
Fond du Lac,0.36,0.562,0.58,0.342,0.566
Franklin,0.741,0.55,0.568,0.458,0.565
Germantown,0.857,0.618,0.562,0.565,0.566
Green Bay East,0.12,0.483,0.566,0.428,0.679
Green Bay Preble,0.25,0.597,0.584,0.449,0.538
Greenfield,0.739,0.49,0.582,0.394,0.541
Hamilton,0.522,0.584,0.568,0.476,0.572
Hartford Union,0.538,0.577,0.565,0.433,0.561
Homestead,0.885,0.515,0.559,0.484,0.55
Hudson,0.583,0.624,0.604,0.644,0.582
Janesville Craig,0.741,0.534,0.562,0.468,0.557
Janesville Parker,0.115,0.581,0.593,0.434,0.578
