Appleton East,0.667,0.456,0.541,0.31,0.536
Appleton North,0.583,0.58,0.542,0.446,0.529
Appleton West,0.167,0.572,0.534,0.412,0.53
Arrowhead,0.917,0.679,0.561,0.682,0.565
Badger,0.5,0.466,0.478,0.338,0.445
Bay Port,0.083,0.583,0.537,0.231,0.515
Beloit Memorial,0.364,0.381,0.461,0.331,0.358
Brookfield Central,0.091,0.64,0.528,0.111,0.666
Brookfield East,0.867,0.556,0.534,0.52,0.532
Chippewa Falls,0.25,0.558,0.542,0.239,0.595
De Pere,0.643,0.509,0.541,0.355,0.538
Eau Claire Memorial,0.875,0.584,0.532,0.54,0.532
Eau Claire North,0.545,0.47,0.562,0.221,0.565
Fond du Lac,0.222,0.556,0.544,0.125,0.611
Franklin,0.538,0.529,0.542,0.423,0.537
Germantown,0.846,0.485,0.521,0.458,0.537
Green Bay East,0.167,0.468,0.519,0.125,0.455
Green Bay Preble,0.231,0.492,0.543,0.14,0.579
Greenfield,0.643,0.479,0.486,0.397,0.478
Hamilton,0.462,0.531,0.51,0.38,0.491
Hartford,0.818,0.393,0.501,0.324,0.493
Homestead,0.636,0.635,0.523,0.483,0.511
Hudson,0.889,0.567,0.483,0.523,0.489
Janesville Craig,0.5,0.429,0.541,0.244,0.513
Janesville Parker,0.167,0.467,0.527,0.182,0.563
Kenosha Bradford,0.636,0.483,0.473,0.512,0.502
Kenosha Indian Trail,0.615,0.435,0.535,0.293,0.526
Kenosha Tremper,0.643,0.462,0.506,0.377,0.431
Kettle Moraine,0.727,0.581,0.481,0.477,0.477
Kimberly,0.846,0.576,0.514,0.513,0.528
Madison East,0.667,0.457,0.516,0.356,0.46
Madison Memorial,0.727,0.494,0.548,0.381,0.469
Madison West,0.308,0.474,0.45,0.27,0.425
Manitowoc Lincoln,0.364,0.473,0.524,0.176,0.497
Marshfield,0.667,0.503,0.559,0.362,0.541
Menomonee Falls,0.545,0.621,0.496,0.495,0.479
Middleton,0.25,0.6,0.56,0.488,0.479
Milwaukee King,0.286,0.379,0.433,0.134,0.393
Milwaukee South,0.111,0.392,0.405,0.0,0.562
Milwaukee Vincent,0.25,0.385,0.493,0.25,0.292
Mukwonago,0.545,0.52,0.5,0.314,0.493
Muskego,0.8,0.564,0.52,0.477,0.495
Neenah,0.846,0.561,0.54,0.512,0.522
Oak Creek,0.5,0.619,0.521,0.473,0.486
Oconomowoc,0.545,0.573,0.563,0.444,0.587
Oshkosh North,0.429,0.524,0.527,0.289,0.527
Oshkosh West,0.556,0.582,0.563,0.429,0.516
Racine Case,0.333,0.393,0.513,0.143,0.481
Racine Horlick,0.2,0.513,0.525,0.25,0.439
Racine Park,0.5,0.501,0.491,0.463,0.44
Sheboygan North,0.167,0.55,0.529,0.299,0.481
Sheboygan South,0.182,0.529,0.496,0.353,0.497
Stevens Point,0.538,0.464,0.539,0.405,0.524
Sun Prairie East,0.273,0.552,0.532,0.242,0.466
Superior,0.75,0.575,0.502,0.425,0.515
Verona,1.0,0.51,0.506,0.51,0.506
Watertown,0.688,0.606,0.497,0.535,0.486
Waukesha South,0.0,0.0,0.0,0.0,0.0
Waukesha West,0.556,0.574,0.495,0.475,0.478
Wausau West,0.3,0.497,0.554,0.274,0.566
West Allis Central,0.0,0.563,0.572,0.0,0.0
West Allis Hale,0.111,0.602,0.526,0.417,0.441
Antigo,0.167,0.581,0.489,0.183,0.52
Ashland,0.2,0.454,0.516,0.111,0.535
Ashwaubenon,0.5,0.523,0.503,0.318,0.49
Baraboo,0.133,0.562,0.529,0.091,0.604
Beaver Dam,0.8,0.634,0.531,0.585,0.517
Brown Deer,0.778,0.45,0.496,0.411,0.469
Burlington,0.4,0.541,0.466,0.42,0.41
Catholic Memorial,0.9,0.602,0.5,0.567,0.482
Cedarburg,0.0,0.725,0.621,0.0,0.0
Cudahy,0.1,0.542,0.486,0.556,0.473
DeForest,0.727,0.513,0.558,0.43,0.572
Delavan-Darien,0.385,0.479,0.493,0.258,0.504
Elkhorn,0.778,0.413,0.495,0.362,0.478
Fort Atkinson,0.273,0.588,0.559,0.45,0.479
Grafton,0.0,0.692,0.449,0.692,0.449
Green Bay Southwest,0.75,0.405,0.534,0.306,0.519
Greendale,0.545,0.407,0.545,0.223,0.494
Holmen,0.417,0.581,0.526,0.454,0.524
Hortonville,0.75,0.636,0.514,0.616,0.522
Jefferson,0.5,0.479,0.502,0.39,0.49
Kaukauna,0.444,0.478,0.564,0.225,0.565
Kewaskum,0.545,0.516,0.512,0.412,0.536
La Crosse Central,0.4,0.592,0.533,0.363,0.502
La Crosse Logan,0.273,0.548,0.551,0.179,0.54
Lakeland,0.857,0.453,0.517,0.424,0.506
Luxemburg-Casco,0.6,0.51,0.487,0.429,0.443
Marinette,0.769,0.5,0.493,0.423,0.498
McFarland,0.769,0.591,0.503,0.468,0.501
Medford,0.357,0.631,0.537,0.315,0.547
Menasha,0.636,0.525,0.497,0.505,0.496
Menomonie,0.917,0.517,0.528,0.485,0.528
Merrill,0.583,0.508,0.487,0.435,0.463
Messmer,0.556,0.419,0.435,0.32,0.417
Milton,0.412,0.556,0.558,0.473,0.568
Milwaukee Lutheran,0.5,0.421,0.477,0.321,0.457
Milwaukee Madison,0.6,0.337,0.321,0.157,0.365
Monona Grove,0.667,0.631,0.55,0.562,0.555
Monroe,0.091,0.47,0.54,0.0,0.657
Mosinee,0.75,0.44,0.506,0.3,0.507
Mount Horeb,0.364,0.509,0.543,0.145,0.571
New Berlin West,0.273,0.602,0.556,0.37,0.561
New London,0.8,0.465,0.496,0.426,0.485
New Richmond,0.0,0.71,0.545,0.0,0.0
Nicolet,0.375,0.287,0.431,0.206,0.362
Notre Dame,0.917,0.401,0.527,0.315,0.536
Onalaska,0.692,0.518,0.501,0.394,0.494
Oregon,1.0,0.582,0.545,0.582,0.545
Pewaukee,1.0,0.559,0.511,0.559,0.511
Pius XI Catholic,0.714,0.602,0.549,0.609,0.505
Plymouth,0.455,0.487,0.519,0.258,0.508
Port Washington,0.417,0.384,0.503,0.277,0.461
Portage,0.111,0.536,0.498,0.25,0.448
Pulaski,0.538,0.518,0.511,0.323,0.516
Reedsburg,0.8,0.434,0.53,0.341,0.506
Rhinelander,0.75,0.426,0.508,0.431,0.517
Rice Lake,0.75,0.605,0.525,0.508,0.53
River Falls,0.545,0.5,0.561,0.232,0.568
Saint Anthony,0.286,0.488,0.44,0.062,0.33
Sauk Prairie,0.727,0.375,0.566,0.214,0.554
Seymour,0.429,0.504,0.549,0.326,0.533
Shawano,0.8,0.466,0.496,0.38,0.487
Shorewood,0.429,0.455,0.485,0.104,0.456
Slinger,0.375,0.394,0.552,0.472,0.494
South Milwaukee,0.111,0.59,0.537,0.1,0.596
Sparta,0.286,0.527,0.543,0.374,0.473
Stoughton,0.182,0.596,0.547,0.122,0.552
Tomah,0.25,0.472,0.558,0.172,0.531
Union Grove,0.583,0.55,0.527,0.506,0.472
Waterford,0.4,0.465,0.498,0.325,0.469
Waunakee,0.571,0.667,0.528,0.564,0.502
Waupaca,0.2,0.505,0.498,0.0,0.546
Wausau East,0.417,0.512,0.509,0.205,0.528
Wauwatosa East,0.714,0.489,0.535,0.342,0.535
Wauwatosa West,0.6,0.486,0.498,0.357,0.441
West Bend West,0.0,0.407,0.512,0.0,0.0
West De Pere,0.769,0.56,0.521,0.524,0.486
Westosha Central,0.462,0.566,0.485,0.441,0.425
Whitefish Bay,0.857,0.385,0.49,0.313,0.496
Whitnall,0.556,0.432,0.499,0.369,0.441
Wilmot,0.1,0.453,0.527,0.0,0.614
Wisconsin Lutheran,0.5,0.682,0.496,0.532,0.477
Adams-Friendship,0.154,0.527,0.474,0.226,0.493
Altoona,0.667,0.608,0.488,0.503,0.498
Amery,0.538,0.419,0.556,0.185,0.557
Amherst,0.545,0.385,0.482,0.143,0.504
Arcadia,0.6,0.466,0.54,0.328,0.51
Baldwin-Woodville,0.6,0.614,0.503,0.537,0.523
Barron,1.0,0.369,0.472,0.369,0.472
Berlin,0.583,0.504,0.5,0.356,0.488
Big Foot,0.385,0.43,0.49,0.343,0.492
Black River Falls,0.077,0.457,0.508,0.091,0.586
Bloomer,0.5,0.488,0.524,0.202,0.503
Brillion,0.25,0.45,0.468,0.167,0.492
Brodhead,0.545,0.55,0.474,0.364,0.479
Brookfield Academy,0.667,0.45,0.485,0.433,0.481
Campbellsport,0.1,0.54,0.535,0.091,0.58
Carmen Northwest,0.25,0.281,0.352,0.0,0.349
Cedar Grove-Belgium,0.3,0.598,0.505,0.413,0.463
Chilton,0.455,0.472,0.506,0.378,0.471
Clinton,0.143,0.519,0.507,0.556,0.489
Clintonville,0.2,0.462,0.532,0.084,0.572
Columbus,0.267,0.683,0.526,0.818,0.497
Denmark,0.538,0.418,0.522,0.278,0.495
Dodgeville,0.727,0.424,0.513,0.319,0.507
Dominican,0.625,0.63,0.484,0.483,0.45
East Troy,0.583,0.412,0.476,0.361,0.447
Edgerton,0.917,0.404,0.518,0.375,0.511
Edgewood,0.846,0.531,0.541,0.474,0.515
Elk Mound,1.0,0.55,0.516,0.55,0.516
Ellsworth,0.727,0.559,0.509,0.527,0.52
Evansville,0.154,0.555,0.524,0.264,0.478
Fox Valley Lutheran,0.273,0.528,0.504,0.133,0.466
Freedom,0.636,0.511,0.477,0.342,0.464
Hayward,0.6,0.517,0.526,0.386,0.518
Kewaunee,1.0,0.469,0.486,0.469,0.486
Kiel,0.308,0.514,0.514,0.418,0.51
Lake Mills,0.538,0.594,0.535,0.488,0.561
Lakeside Lutheran,0.462,0.521,0.542,0.39,0.547
Little Chute,0.0,0.458,0.512,0.0,0.0
Lodi,0.25,0.596,0.524,0.392,0.511
Lomira,0.5,0.536,0.502,0.345,0.525
Marshall,0.533,0.502,0.51,0.343,0.51
Martin Luther,0.333,0.601,0.533,0.479,0.483
Mauston,0.833,0.203,0.507,0.146,0.498
Mayville,0.091,0.539,0.52,0.1,0.605
Nekoosa,0.25,0.42,0.477,0.11,0.463
New Holstein,0.333,0.554,0.473,0.667,0.434
North Fond du Lac,0.615,0.464,0.511,0.552,0.488
Northland Pines,0.375,0.509,0.512,0.322,0.505
Northwestern,0.3,0.5,0.555,0.141,0.523
Obama SCTE,0.0,0.371,0.381,0.0,0.0
Oconto,0.583,0.491,0.469,0.315,0.486
Oconto Falls,0.7,0.368,0.504,0.239,0.509
Omro,0.583,0.494,0.544,0.459,0.543
Oostburg,0.889,0.474,0.55,0.408,0.55
Osceola,0.111,0.597,0.561,0.455,0.542
Palmyra-Eagle,0.7,0.428,0.446,0.324,0.446
Peshtigo,0.083,0.618,0.475,0.455,0.532
Platteville,0.583,0.582,0.523,0.488,0.506
Poynette,0.615,0.491,0.527,0.462,0.493
Prairie du Chien,0.769,0.396,0.508,0.294,0.507
Prescott,0.5,0.657,0.503,0.534,0.466
Richland Center,0.0,0.554,0.497,0.0,0.0
Ripon,0.182,0.553,0.554,0.273,0.533
River Valley,0.1,0.524,0.51,0.0,0.595
St. Croix Central,0.429,0.552,0.525,0.356,0.502
Saint Francis,0.545,0.553,0.442,0.48,0.424
Saint Thomas More,0.714,0.31,0.554,0.129,0.53
Sheboygan Falls,1.0,0.298,0.461,0.298,0.461
Somerset,0.636,0.545,0.497,0.453,0.494
Southern Door,0.3,0.487,0.499,0.194,0.519
Spooner,0.222,0.461,0.498,0.0,0.623
Sturgeon Bay,0.25,0.39,0.496,0.094,0.555
Tomahawk,0.2,0.511,0.476,0.315,0.431
Two Rivers,0.0,0.518,0.499,0.0,0.0
Turner,0.727,0.464,0.478,0.282,0.495
Valders,0.7,0.481,0.462,0.336,0.451
Viroqua,0.091,0.54,0.501,0.091,0.514
Waupun,0.929,0.543,0.518,0.505,0.526
Wautoma,0.75,0.357,0.509,0.255,0.515
West Salem,0.846,0.449,0.546,0.383,0.55
Westby,0.286,0.453,0.504,0.114,0.515
Westfield,0.692,0.532,0.518,0.416,0.477
Whitewater,0.625,0.397,0.513,0.309,0.48
Winneconne,0.417,0.558,0.515,0.367,0.51
Wisconsin Dells,0.636,0.478,0.529,0.34,0.523
Wrightstown,0.636,0.531,0.522,0.43,0.503
Xavier,0.692,0.585,0.508,0.499,0.496
Abbotsford,0.545,0.475,0.476,0.359,0.442
Algoma,0.583,0.427,0.519,0.248,0.505
Aquinas,0.8,0.523,0.526,0.52,0.535
Athens,0.571,0.594,0.508,0.395,0.474
Auburndale,0.75,0.501,0.49,0.37,0.471
Belleville,0.6,0.589,0.565,0.488,0.575
Bonduel,0.857,0.576,0.477,0.535,0.468
Boscobel,0.444,0.415,0.502,0.107,0.532
Boyceville,0.462,0.408,0.515,0.244,0.491
Brookwood,0.692,0.391,0.478,0.209,0.462
Cadott,0.5,0.481,0.482,0.281,0.468
Cambridge,0.643,0.554,0.516,0.61,0.513
Cameron,0.5,0.516,0.526,0.278,0.478
Chequamegon,0.167,0.529,0.508,0.121,0.597
Chetek-Weyerhaeuser,0.556,0.497,0.488,0.277,0.48
Colby,0.273,0.52,0.47,0.138,0.458
Coleman,0.833,0.457,0.49,0.457,0.492
Colfax,0.5,0.597,0.532,0.36,0.514
Crandon,0.917,0.448,0.494,0.42,0.501
Crivitz,0.667,0.454,0.516,0.351,0.475
Cuba City,0.727,0.687,0.547,0.606,0.51
Cumberland,0.0,0.592,0.541,0.0,0.0
Darlington,0.75,0.455,0.486,0.394,0.489
Deerfield,0.769,0.406,0.484,0.376,0.432
Destiny,0.0,0.0,0.0,0.0,0.0
Dodgeland,0.417,0.419,0.512,0.093,0.54
Edgar,0.462,0.489,0.496,0.293,0.461
Fall Creek,0.75,0.641,0.493,0.549,0.485
Fennimore,0.615,0.48,0.522,0.34,0.512
Gibraltar,0.5,0.479,0.49,0.252,0.466
