Milwaukee Lutheran,0.167,0.552,0.536,0.511,0.634
Milwaukee Madison,0.278,0.459,0.495,0.267,0.496
Milwaukee North,0.824,0.423,0.439,0.392,0.439
Monona Grove,0.846,0.583,0.556,0.543,0.566
Monroe,0.2,0.52,0.57,0.623,0.599
Mosinee,0.6,0.519,0.554,0.408,0.517
Mount Horeb,0.318,0.549,0.571,0.301,0.544
New Berlin Eisenhower,0.654,0.617,0.557,0.501,0.564
New Berlin West,0.72,0.637,0.56,0.552,0.548
New London,0.84,0.468,0.553,0.42,0.551
New Richmond,0.5,0.573,0.557,0.474,0.541
Nicolet,0.2,0.508,0.557,0.357,0.528
Notre Dame,0.964,0.566,0.55,0.551,0.536
Onalaska,0.565,0.548,0.579,0.5,0.577
Oregon,0.704,0.592,0.557,0.5,0.56
Pewaukee,0.964,0.638,0.556,0.626,0.556
Pius XI Catholic,0.893,0.626,0.553,0.596,0.553
Plymouth,0.385,0.582,0.584,0.467,0.572
Port Washington,0.48,0.455,0.547,0.246,0.524
Portage,0.083,0.536,0.552,0.136,0.491
Pulaski,0.24,0.555,0.556,0.33,0.534
Reedsburg,0.808,0.512,0.565,0.465,0.563
Rhinelander,0.391,0.496,0.549,0.267,0.51
Rice Lake,0.44,0.56,0.569,0.41,0.544
River Falls,0.435,0.565,0.585,0.504,0.601
Saint Anthony,0.211,0.442,0.472,0.193,0.514
Sauk Prairie,0.68,0.51,0.568,0.408,0.566
Seymour,0.217,0.556,0.552,0.257,0.484
Shawano,0.5,0.493,0.571,0.351,0.547
Shorewood,0.731,0.491,0.549,0.398,0.535
Slinger,0.391,0.598,0.549,0.311,0.467
South Milwaukee,0.2,0.582,0.53,0.404,0.532
Sparta,0.24,0.569,0.57,0.421,0.551
Stoughton,0.391,0.577,0.555,0.347,0.527
Tomah,0.5,0.518,0.592,0.403,0.603
Union Grove,0.929,0.615,0.569,0.6,0.563
Waterford,0.5,0.503,0.553,0.377,0.533
Waukesha North,0.2,0.548,0.555,0.263,0.545
Waunakee,0.615,0.574,0.559,0.432,0.542
Waupaca,0.125,0.527,0.532,0.322,0.534
Wausau East,0.28,0.551,0.544,0.494,0.56
Wauwatosa East,0.577,0.589,0.575,0.494,0.562
Wauwatosa West,0.44,0.559,0.577,0.453,0.558
West Bend East,0.308,0.562,0.587,0.399,0.521
West Bend West,0.13,0.54,0.566,0.236,0.545
West De Pere,0.808,0.5,0.558,0.465,0.552
Westosha Central,0.423,0.589,0.56,0.476,0.489
Whitefish Bay,0.565,0.494,0.561,0.332,0.531
Whitnall,0.609,0.509,0.525,0.464,0.539
Wilmot,0.32,0.587,0.551,0.51,0.538
Wisconsin Lutheran,0.692,0.619,0.553,0.539,0.551
Adams-Friendship,0.4,0.553,0.549,0.329,0.543
Altoona,0.64,0.604,0.564,0.515,0.573
Amery,0.615,0.587,0.528,0.565,0.532
Amherst,0.4,0.603,0.548,0.365,0.567
Arcadia,0.385,0.484,0.54,0.458,0.516
Baldwin-Woodville,0.52,0.617,0.573,0.514,0.565
Barron,0.652,0.507,0.531,0.383,0.548
Berlin,0.458,0.545,0.554,0.499,0.537
Big Foot,0.16,0.581,0.538,0.673,0.546
Black River Falls,0.083,0.518,0.526,0.527,0.557
Bloomer,0.52,0.58,0.549,0.447,0.538
Brillion,0.84,0.535,0.54,0.484,0.545
Brodhead,0.696,0.548,0.529,0.396,0.523
Brookfield Academy,0.739,0.522,0.525,0.435,0.518
Campbellsport,0.136,0.546,0.556,0.484,0.627
Carmen Northwest,0.364,0.472,0.459,0.477,0.49
Cedar Grove-Belgium,0.615,0.524,0.533,0.378,0.525
Chilton,0.609,0.468,0.546,0.452,0.546
Clinton,0.458,0.517,0.556,0.322,0.531
Clintonville,0.346,0.523,0.538,0.299,0.512
Columbus,0.731,0.598,0.555,0.509,0.556
Denmark,0.462,0.533,0.536,0.333,0.53
Dodgeville,0.462,0.587,0.549,0.444,0.568
Dominican,0.913,0.557,0.535,0.551,0.517
East Troy,0.333,0.548,0.539,0.343,0.516
Edgerton,0.92,0.52,0.545,0.496,0.545
Edgewood,0.577,0.592,0.573,0.434,0.572
Elk Mound,0.963,0.51,0.56,0.499,0.56
Ellsworth,0.52,0.548,0.534,0.542,0.541
Evansville,0.654,0.535,0.539,0.441,0.527
Fox Valley Lutheran,0.889,0.526,0.565,0.488,0.551
Freedom,0.964,0.508,0.558,0.499,0.55
Gale-Ettrick-Trempealeau,0.208,0.547,0.539,0.206,0.503
Gale-Ettrick-Trempealeau,0.208,0.547,0.539,0.206,0.503
Hayward,0.48,0.522,0.577,0.318,0.554
Kettle Moraine Lutheran,0.577,0.638,0.57,0.543,0.567
Kewaunee,0.423,0.584,0.542,0.455,0.507
Kiel,0.615,0.524,0.572,0.55,0.584
Lake Mills,0.926,0.611,0.556,0.584,0.559
Lakeside Lutheran,0.654,0.609,0.559,0.51,0.567
Lodi,0.32,0.579,0.572,0.454,0.561
Lomira,0.462,0.532,0.529,0.475,0.554
Marshall,0.5,0.612,0.549,0.438,0.552
Martin Luther,0.741,0.645,0.558,0.653,0.568
Mauston,0.458,0.469,0.522,0.301,0.493
Mayville,0.182,0.567,0.544,0.525,0.55
Milwaukee School of Languages,0.591,0.442,0.513,0.325,0.48
Nekoosa,0.136,0.484,0.528,0.237,0.55
New Holstein,0.52,0.579,0.543,0.452,0.55
North Fond du Lac,0.4,0.499,0.536,0.472,0.518
Northland Pines,0.182,0.553,0.537,0.641,0.475
Northwestern,0.769,0.499,0.549,0.401,0.559
Obama SCTE,0.0,0.511,0.409,0.0,0.0
Oconto,0.731,0.497,0.545,0.423,0.525
Oconto Falls,0.308,0.553,0.549,0.336,0.532
Omro,0.591,0.495,0.565,0.39,0.548
Oostburg,0.926,0.563,0.565,0.538,0.568
Osceola,0.5,0.606,0.543,0.57,0.548
Palmyra-Eagle,0.545,0.514,0.485,0.421,0.47
Peshtigo,0.654,0.538,0.529,0.453,0.513
Platteville,0.769,0.605,0.567,0.511,0.558
Poynette,0.615,0.542,0.543,0.439,0.541
Prairie du Chien,0.852,0.61,0.546,0.596,0.55
Prescott,0.692,0.638,0.552,0.579,0.547
Racine St. Catherine’s,0.423,0.529,0.53,0.341,0.51
Richland Center,0.2,0.642,0.538,0.451,0.522
Ripon,0.462,0.581,0.585,0.469,0.55
River Valley,0.4,0.525,0.545,0.381,0.545
St. Croix Central,0.385,0.588,0.569,0.475,0.567
Saint Francis,0.48,0.509,0.508,0.474,0.498
Saint Thomas More,0.577,0.551,0.54,0.46,0.534
Sheboygan Falls,0.692,0.487,0.542,0.401,0.543
Somerset,0.786,0.612,0.527,0.582,0.523
Southern Door,0.6,0.49,0.544,0.364,0.536
Spooner,0.136,0.516,0.552,0.456,0.545
Sturgeon Bay,0.125,0.505,0.515,0.615,0.551
Tomahawk,0.32,0.416,0.513,0.248,0.534
Two Rivers,0.167,0.551,0.549,0.311,0.474
Turner,0.4,0.532,0.51,0.364,0.506
University School of Milwaukee,0.792,0.513,0.519,0.494,0.51
Valders,0.538,0.54,0.554,0.438,0.559
Viroqua,0.24,0.43,0.531,0.455,0.504
Watertown Luther Prep,0.217,0.657,0.557,0.489,0.499
