Baraboo,919,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66688
Beaver Dam,1124,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66689
Brown Deer,579,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66690
Burlington,1001,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66691
Catholic Memorial,576,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66692
Cedarburg,1087,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66693
Cudahy,677,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66694
DeForest,1093,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66695
Delavan-Darien,628,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66696
Elkhorn,1142,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66697
Fort Atkinson,964,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66698
Grafton,713,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66699
Green Bay Southwest,1145,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66700
Greendale,931,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66702
Holmen,1215,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66703
Hortonville,1232,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66704
Jefferson,604,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66705
Kaukauna,1253,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66706
Kewaskum,572,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66707
La Crosse Central,1029,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66708
La Crosse Logan,738,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66709
Lakeland,717,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66710
Luxemburg-Casco,610,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66711
Marinette,623,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66712
McFarland,774,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66713
Medford,738,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66714
Menasha,966,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66715
Menomonie,1022,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66716
Merrill,801,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66717
Messmer,499,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66718
Milton,1059,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66719
Milwaukee Lutheran,908,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66720
Milwaukee Madison,713,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66721
Monona Grove,1127,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66723
Monroe,742,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66724
Mosinee,621,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66725
Mount Horeb,792,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66726
New Berlin West,699,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66728
New London,712,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66729
New Richmond,1112,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66730
Nicolet,1086,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66731
Notre Dame,727,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66732
