Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
Clinton,0.38095,0.47697,0.47697,0.5079,0.5079,3,4B,7,2023
Clintonville,0.30435,0.50137,0.51703,0.49669,0.49863,3,2A,6,2023
Cochrane-Fountain City,0.69565,0.5012,0.48608,0.51004,0.51215,5,3A,5,2023
Colby,0.2381,0.50658,0.51064,0.52399,0.52037,4,1B,11,2023
Coleman,0.85,0.5809,0.59661,0.53587,0.5225,4,2B,2,2023
Colfax,0.71429,0.59954,0.54012,0.53543,0.52728,4,1A,3,2023
Columbus,0.73913,0.5815,0.56204,0.56748,0.56604,3,3A,4,2023
Columbus Catholic,0.6087,0.55527,0.51895,0.53147,0.537,5,2A,6,2023
Cornell,0.40909,0.42675,0.42675,0.5047,0.5047,5,1B,11,2023
Crandon,0.95,0.52482,0.52059,0.53162,0.53448,4,2B,1,2023
Cristo Rey Jesuit,0.21429,0.42781,0.4726,0.47288,0.44759,3,4A,10,2023
Crivitz,0.15,0.5567,0.5567,0.51663,0.51663,4,2B,12,2023
Cuba City,0.90909,0.56651,0.50143,0.5465,0.54146,4,3B,2,2023
Cumberland,0.09091,0.47917,0.4966,0.47268,0.46619,4,1A,11,2023
D.C. Everest,0.13636,0.52806,0.531,0.52492,0.52725,1,1A,17,2023
Darlington,0.63636,0.50856,0.5,0.51242,0.51761,4,3B,6,2023
De Pere,0.59091,0.49201,0.49201,0.52618,0.52618,1,2A,12,2023
De Soto,0.09091,0.46736,0.46018,0.46238,0.45445,5,3B,16,2023
DeForest,0.69565,0.53664,0.53664,0.54434,0.54434,2,3A,4,2023
Deerfield,0.85,0.48603,0.48603,0.52279,0.52279,4,3B,3,2023
Delavan-Darien,0.61905,0.42075,0.42075,0.50074,0.50074,2,3B,4,2023
Denmark,0.40909,0.5122,0.48366,0.49689,0.4935,3,2B,10,2023
Divine Savior Holy Angels,0.54545,0.6148,0.6092,0.55434,0.5593,1,2A,5,2023
Dodgeland,0.38095,0.47887,0.47147,0.4966,0.49408,4,4B,6,2023
Dodgeville,0.40909,0.56373,0.57881,0.53723,0.53749,3,3A,8,2023
Dominican,0.90476,0.50955,0.52203,0.5271,0.53382,3,4A,1,2023
Drummond,0.68421,0.44013,0.41045,0.50341,0.5042,5,1A,5,2023
Durand-Arkansaw,0.73913,0.5051,0.50811,0.52701,0.52442,4,1B,3,2023
East Troy,0.36842,0.51077,0.53025,0.48242,0.48918,3,4B,8,2023
Eau Claire Immanuel Lutheran,0.6,0.49521,0.52988,0.49206,0.48531,5,1B,7,2023
Eau Claire Memorial,0.7619,0.55013,0.53353,0.54088,0.53763,1,1A,5,2023
Eau Claire North,0.47619,0.51163,0.53727,0.53847,0.54058,1,1A,13,2023
Edgar,0.77273,0.5191,0.52577,0.52985,0.53316,5,2A,2,2023
Edgerton,0.90476,0.51623,0.49826,0.53365,0.52884,3,3A,2,2023
Edgewood,0.56522,0.59631,0.60586,0.54354,0.54119,3,3A,6,2023
Elcho,0.22222,0.46053,0.45802,0.47186,0.47762,5,2B,11,2023
Eleva-Strum,0.26316,0.55402,0.53292,0.4955,0.4935,5,3A,13,2023
Elk Mound,0.95455,0.49755,0.47384,0.54703,0.54407,3,1B,1,2023
Elkhart Lake-Glenbeulah,0.45455,0.52123,0.53631,0.51426,0.51809,5,4B,7,2023
Elkhorn,0.65217,0.42147,0.39335,0.50847,0.50593,2,3B,3,2023
Ellsworth,0.54545,0.50131,0.50829,0.54191,0.54199,3,1A,7,2023
Evansville,0.57143,0.49689,0.49689,0.52594,0.52594,3,3A,7,2023
Faith Christian (Wms Bay),0.46667,0.43243,0.43373,0.45197,0.43473,5,4A,10,2023
Fall Creek,0.71429,0.56479,0.54125,0.53729,0.53913,4,1B,2,2023
Fall River,0.3913,0.52506,0.51397,0.5016,0.50803,5,4A,12,2023
Fennimore,0.47826,0.53944,0.52291,0.51406,0.51602,4,3A,6,2023
Flambeau,0.31579,0.45614,0.41825,0.49957,0.50319,5,1B,13,2023
Florence,0.61905,0.52147,0.52147,0.5121,0.51465,5,2B,6,2023
Fond du Lac,0.59091,0.55775,0.54354,0.55653,0.55775,1,2A,8,2023
Fort Atkinson,0.30435,0.51896,0.51896,0.52995,0.52995,2,3B,9,2023
Fox Valley Lutheran,0.86364,0.53316,0.47386,0.52464,0.52731,2,2A,2,2023
Franklin,0.91304,0.47955,0.46543,0.54931,0.55567,1,4A,2,2023
Frederic,0.19048,0.58466,0.56507,0.47947,0.48496,5,1A,13,2023
Freedom,0.95455,0.47709,0.50325,0.5444,0.5353,3,2A,1,2023
Gale-Ettrick-Trempealeau,0.14286,0.54642,0.54642,0.51643,0.51643,3,1B,10,2023
Gale-Ettrick-Trempealeau,0.14286,0.54642,0.54642,0.51643,0.51643,3,1B,10,2023
Germantown,0.77273,0.59569,0.63429,0.57021,0.57154,1,2A,1,2023
Gibraltar,0.13636,0.44932,0.42857,0.50299,0.50443,5,2B,13,2023
Gillett,0.59091,0.44343,0.44343,0.51289,0.51338,5,2B,8,2023
Gilman,0.61905,0.52243,0.49664,0.52049,0.51735,5,1B,8,2023
Glenwood City,0.04545,0.47633,0.47633,0.50218,0.50218,5,1B,15,2023
Golda Meir,0.42857,0.4085,0.43158,0.4833,0.48046,2,4A,7,2023
Goodman/Pembine,0.21053,0.47569,0.47569,0.48904,0.48858,5,2B,12,2023
Grafton,0.63636,0.62108,0.60366,0.54172,0.54211,2,2B,4,2023
Grantsburg,0.75,0.41892,0.40217,0.50464,0.50444,4,1A,4,2023
Green Bay East,0.04762,0.4,0.39198,0.49551,0.49584,1,2A,18,2023
Green Bay N.E.W. Luth./Providence (G),0.47619,0.42105,0.39252,0.50445,0.50378,5,4B,9,2023
Green Bay Preble,0.43478,0.5113,0.49849,0.52726,0.52578,1,2A,14,2023
